,vac_pump_time,vac_pump_idx,vac_stable_time,vac_stable_idx,pre_rise_time,pre_rise_idx,pre_stable_time,pre_stable_idx,pre_relief_time,pre_relief_idx,pro_end_time,pro_end_idx,running_time,pump,v_max,v_min,v_std,vd_max,vd_min,vd_std,rise,p_max,p_min,p_std,pd_max,pd_min,pd_std,relief
17,2020-07-13 13:22:59.330628100,127681,2020-07-13 13:56:59.400559100,127715,2020-07-13 18:33:59.918826700,127992,2020-07-13 19:12:00.034299100,128030,2020-07-13 19:57:00.083906600,128075,2020-07-14 09:28:01.581608000,128886,1205.0375163166668,34.00116551666667,3.301138401031494,0.0,0.4596348126186315,0.5188769102096558,-1.08152973651886,0.1453810039758849,38.00192453333333,6.482844829559326,6.01377534866333,0.1293549875179264,0.1325631141662597,-0.0388975143432617,0.0347725505554041,811.0249616833333
18,2020-08-12 10:34:20.146307800,167645,2020-08-12 12:54:20.490391900,167785,2020-08-12 17:59:21.220413900,168090,2020-08-12 18:47:21.330678100,168138,2020-08-13 09:40:23.403983400,169027,2020-08-13 10:11:23.482385300,169058,1417.055601283333,140.00573473333333,2.7849230766296387,0.0,0.2193510889247527,0.0731557607650756,-0.2560446262359619,0.0315857692197608,48.00183773333333,6.485393524169922,6.069859504699707,0.0334355163372986,0.1198163032531738,-0.0599513053894043,0.0129349186939369,31.001306683333333
19,2020-08-13 10:39:40.453742100,169086,2020-08-13 11:11:40.531453800,169118,2020-08-13 15:55:41.234992900,169402,2020-08-13 16:36:41.345755100,169443,2020-08-14 10:02:55.512967400,170489,2020-08-14 10:27:55.581100400,170514,1428.252122633333,32.00129518333333,2.9889731407165527,0.0,0.2902476261758631,0.0580148696899414,-0.1760375499725341,0.0235132848182792,41.00184603333333,6.442055702209473,6.118296146392822,0.037475418038484,0.1357707977294922,-0.0662813186645507,0.010037882631191,25.00113555
20,2020-08-14 11:14:55.679153600,170561,2020-08-14 11:48:55.756929000,170595,2020-08-14 16:25:56.412292600,170872,2020-08-14 17:02:56.496007000,170909,2020-08-15 08:26:58.625542900,171833,2020-08-15 08:57:58.666618600,171864,1303.0497910833333,34.00129625,2.8632619380950928,0.0,0.3395115334533163,0.0530500411987302,-0.133413553237915,0.0195188346136561,37.00139523333333,6.500689506530762,6.087704658508301,0.0391425749013671,0.1376614570617675,-0.1351127624511718,0.0124529766605382,31.00068458333333
21,2020-08-18 12:48:40.554153300,173893,2020-08-18 13:19:40.648283600,173924,2020-08-18 18:06:41.443186600,174211,2020-08-18 18:46:41.558589200,174251,2020-08-19 09:09:44.019308500,175114,2020-08-19 09:40:44.064437500,175145,1252.0585047333334,31.001568833333334,2.935647964477539,0.0,0.3083159590823107,0.2044988870620727,-0.2455487251281742,0.0389240758866349,40.00192336666667,6.495591163635254,6.052014350891113,0.047844631517706,0.1300139427185058,-0.0599513053894043,0.0105789565425535,31.00075215
22,2020-08-19 16:14:45.208106500,175539,2020-08-19 16:50:45.302718800,175575,2020-08-19 21:47:46.157685600,175872,2020-08-19 22:29:46.275020300,175914,2020-08-20 12:58:48.759783100,176783,2020-08-20 13:29:48.837313300,176814,1275.0604867666666,36.00157686666667,3.2282943725585938,0.0,0.3771478061824808,0.8797646760940547,-0.6496142148971558,0.0728837235625451,42.001955566666666,6.47009801864624,6.1004509925842285,0.044514088008783,0.1300139427185058,-0.0599513053894043,0.0110311441550663,31.001292166666666
23,2020-08-21 08:15:52.009544100,177935,2020-08-21 08:51:52.099929300,177971,2020-08-21 12:30:52.744527100,178190,2020-08-21 13:49:52.952103700,178269,2020-08-21 16:30:53.406677100,178430,2020-08-21 17:12:53.535493900,178472,537.0254324833334,36.001506416666665,2.985901594161988,0.0,0.42097049626565,0.3369259834289551,-0.5327374935150142,0.1108909751633054,79.0034596,6.286549091339111,6.057113170623779,0.0322250597705709,0.0739297866821289,-0.03125,0.01237355916027,42.00214693333333
24,2020-08-21 17:34:53.592797700,178494,2020-08-21 18:18:53.710355000,178538,2020-08-21 23:41:54.629738700,178861,2020-08-22 00:22:54.755937500,178902,2020-08-24 09:21:04.210557500,182320,2020-08-24 09:50:04.310133200,182349,3855.17862225,44.001959283333335,2.942171096801758,0.0,0.5416839513617806,0.9061529636383056,-0.1531660556793213,0.0540488270805154,41.0021033,6.472647190093994,6.057113170623779,0.0502081124291906,0.1274647712707519,-0.0599513053894043,0.0079068440275512,29.00165958333333
25,2020-08-27 12:54:32.320883400,186818,2020-08-27 13:29:32.424813800,186853,2020-08-27 18:43:33.336323600,187167,2020-08-27 19:24:33.451729600,187208,2020-08-28 07:52:35.587348400,187956,2020-08-28 08:24:35.686201700,187988,1170.0560886333333,35.00173216666667,2.9643309116363525,0.0,0.3437207660688723,0.1255371570587158,-0.1276283264160147,0.035402563838408,41.00192343333333,6.475196838378906,6.064102649688721,0.0727147984873911,0.1300139427185058,-0.059950828552246,0.0103554285478017,32.00164755
26,2020-08-28 09:08:35.804875600,188032,2020-08-28 09:44:35.916628700,188068,2020-08-28 14:31:36.743754000,188355,2020-08-28 15:15:36.883536200,188399,2020-08-28 16:39:37.132841600,188483,2020-08-28 17:12:37.228238400,188516,484.0237227,36.001862550000006,2.9601809978485107,0.0,0.3807135537300489,0.2098027467727661,-0.160341739654541,0.0451326604517602,44.0023297,6.468207359313965,6.113197326660156,0.0515184951630253,0.1172671318054199,-0.048436164855957,0.021084459742927,33.001589933333335
